id,text,is_correct,true_label_text,prediction_text,true_label,predicted_label,predicted_label_id,error
ynat-v1_dev_00000,5억원 무이자 융자는 되고 7천만원 이사비는 안된다,False,사회,경제,2,경제,1.0,
ynat-v1_dev_00001,왜 수소충전소만 더 멀리 떨어져야 하나 한경연 규제개혁 건의,False,사회,정치,2,정치,6.0,
ynat-v1_dev_00002,항응고제 성분 코로나19에 효과…세포실험서 확인,True,IT과학,IT과학,0,IT과학,0.0,
ynat-v1_dev_00003,실거래가 가장 비싼 역세권은 신반포역…3.3㎡당 1억 육박,True,경제,경제,1,경제,1.0,
ynat-v1_dev_00004,기자회견 하는 성 소수자 단체,True,사회,사회,2,사회,2.0,
ynat-v1_dev_00005,모의선거 교육 불허 선관위·교육부 각성하라,False,사회,정치,2,정치,6.0,
ynat-v1_dev_00006,뮤지컬 영웅 합류한 안재욱 정성화와 다른 안중근 보여줄것,True,생활문화,생활문화,3,생활문화,3.0,
ynat-v1_dev_00007,가짜뉴스 징벌적 손해배상제도 도입 변협 토론회,False,사회,정치,2,정치,6.0,
ynat-v1_dev_00008,MBN 노조 부동산 물적분할 중단하고 소유경영 분리해야,False,사회,경제,2,경제,1.0,
ynat-v1_dev_00009,포스코건설 11년 만에 더 샵 브랜드 로고 교체,True,경제,경제,1,경제,1.0,
ynat-v1_dev_00010,세종 경로당·어린이집 2주간 휴원…도서관·박물관도 운영 중단,True,사회,사회,2,사회,2.0,
ynat-v1_dev_00011,한국GM 창원공장 비정규직 해고 후 다시 비정규직 채용해 투입,True,사회,사회,2,사회,2.0,
ynat-v1_dev_00012,PK피부임상연구센타 수요예측 경쟁률 1천373대1…코스닥 최고,True,경제,경제,1,경제,1.0,
ynat-v1_dev_00013,최저임금 전원회의 민주노총 불참,True,사회,사회,2,사회,2.0,
ynat-v1_dev_00014,문재인정부 포용국가 비전 전면에…국민 전생애 생활보장종합,True,정치,정치,6,정치,6.0,
ynat-v1_dev_00015,원달러 환율 11원 급등 마감…5거래일만에 1220원대 진입,True,경제,경제,1,경제,1.0,
ynat-v1_dev_00016,토비스 자사주 30억원 취득 결정,True,경제,경제,1,경제,1.0,
ynat-v1_dev_00017,제56회 한국보도사진전 개막,True,생활문화,생활문화,3,생활문화,3.0,
ynat-v1_dev_00018,실업급여 신청은 늘고 채용은 중단…현실화하는 고용 위기,False,사회,경제,2,경제,1.0,
ynat-v1_dev_00019,구례군 보조금 불법 지원에 음주운전 공무원 봐주기 징계,False,사회,정치,2,정치,6.0,
ynat-v1_dev_00020,이문열 최인훈 내게 가장 큰 영향 준 작가종합,True,생활문화,생활문화,3,생활문화,3.0,
ynat-v1_dev_00021,기업들 현금 실탄 쌓자…코로나 위기에 자산 처분 잇따라,True,경제,경제,1,경제,1.0,
ynat-v1_dev_00022,최저임금 인상에 작년 저임금 노동자 비중 17%로 줄어,False,사회,,2,,,'NoneType' object has no attribute 'strip'
ynat-v1_dev_00023,고양시 여름방학 직장체험 대학생 100명 모집,True,사회,사회,2,사회,2.0,
ynat-v1_dev_00024,IBK투자증권 서병기 차기 대표이사 내정,True,경제,경제,1,경제,1.0,
ynat-v1_dev_00025,전국 거리공연자들 모여라…군산서 13∼14일 버스커즈 경연,True,생활문화,생활문화,3,생활문화,3.0,
ynat-v1_dev_00026,두산밥캣 스캇성철박 단독 대표이사로 변경,False,사회,경제,2,경제,1.0,
ynat-v1_dev_00027,2021년 삼성디스플레이 정기 임원 인사,False,사회,경제,2,경제,1.0,
ynat-v1_dev_00028,광주소식 고삼석 전 방통위 상임위원 지역방송 신년 특강,False,사회,정치,2,정치,6.0,
ynat-v1_dev_00029,춤바람 스타부부 4팀 한 무대에서 만난다,True,생활문화,생활문화,3,생활문화,3.0,
ynat-v1_dev_00030,신한은행 작년 영업이익 3조2천633억원…전년 대비 3.1%↑,True,경제,경제,1,경제,1.0,
ynat-v1_dev_00031,주식 호가창 깜빡깜빡하면 초단기 시세조종 의심하세요,True,경제,경제,1,경제,1.0,
ynat-v1_dev_00032,또 불안해진 부동산시장…정부 군포·인천·안산·대전 주시,True,경제,경제,1,경제,1.0,
ynat-v1_dev_00033,여든 앞둔 노익장이 쓴 노장으로 읽는 선어록,True,생활문화,생활문화,3,생활문화,3.0,
ynat-v1_dev_00034,한양대 5년만에 기숙사 확충 꿈 이뤘다…건축허가 승인,True,사회,사회,2,사회,2.0,
ynat-v1_dev_00035,하루평균 수출 감소폭 전월보다 줄어…향후 예단 쉽지 않아,True,경제,경제,1,경제,1.0,
ynat-v1_dev_00036,전국 곳곳서 가을볕 쨍쨍…늦더위에 양양 낮 31.9도,True,생활문화,생활문화,3,생활문화,3.0,
ynat-v1_dev_00037,동정 아시아뉴스네트워크 회장에 천시영씨,False,사회,,2,,,'NoneType' object has no attribute 'strip'
ynat-v1_dev_00038,라임 무역펀드 100% 반환 조정결과에 판매사 수용여부 검토종합,True,경제,경제,1,경제,1.0,
ynat-v1_dev_00039,교육부·전국 시도교육청 국가교육위 조속 설치 결의안 채택,False,사회,정치,2,정치,6.0,
ynat-v1_dev_00040,한국 수출 회복 신호…코로나 재확산·미중 갈등은 변수,False,사회,경제,2,경제,1.0,
ynat-v1_dev_00041,쓰레기 투기 안 됩니다…완도 낚시터 양심신호등 효과 톡톡,True,사회,사회,2,사회,2.0,
ynat-v1_dev_00042,쇠사슬에 묶이고 성적 학대도 나이지리아 또 300명 구출,True,세계,세계,4,세계,4.0,
ynat-v1_dev_00043,군산대 총장 지역 중심 국립대 참여하는 국립대 네트워크 필요,True,사회,사회,2,사회,2.0,
ynat-v1_dev_00044,고사장 배정 받는 수험생들,True,사회,사회,2,사회,2.0,
ynat-v1_dev_00045,악몽의 8회 에인절스 오타니·시몬스 연쇄 부상,True,스포츠,스포츠,5,스포츠,5.0,
ynat-v1_dev_00046,인도 모디 총리 천민 공격 중단 호소…힌두 강경파 거리 두기,True,세계,세계,4,세계,4.0,
ynat-v1_dev_00047,폴리텍 2021학년도 직업교육훈련과정 신입생 모집,True,사회,사회,2,사회,2.0,
ynat-v1_dev_00048,LG헬로 중소기업에 클라우드PC 서비스 체험기회 제공,False,IT과학,,0,,,'NoneType' object has no attribute 'strip'
ynat-v1_dev_00049,영흥화력발전소서 숨진 운전기사의 화물차,True,사회,사회,2,사회,2.0,
ynat-v1_dev_00050,남수단 대통령·야권 지도자 교황 초청으로 교황청서 피정 돌입,False,정치,세계,6,세계,4.0,
ynat-v1_dev_00051,입국 중국 유학생 학교 버스 탑승 전 발열 체크,False,세계,사회,4,사회,2.0,
ynat-v1_dev_00052,인천교육청 화재 초등생 형제 성금 모금 공문에 일각서 반발,True,사회,사회,2,사회,2.0,
ynat-v1_dev_00053,갈기 세운 류현진 천적 에러나도 보란듯이 넘었다,True,스포츠,스포츠,5,스포츠,5.0,
ynat-v1_dev_00054,둘로 나뉜 바른미래 권은희 포섭 경쟁…당내 캐스팅보터,True,정치,정치,6,정치,6.0,
ynat-v1_dev_00055,중소기업도 재택근무 확산…2월말부터 1만6천명 지원금 신청,False,사회,정치,2,정치,6.0,
ynat-v1_dev_00056,고독한 노동자 김동식의 천일야화 같은 이야기들,True,생활문화,생활문화,3,생활문화,3.0,
ynat-v1_dev_00057,슈틸리케는 베일·기성용은 메시…또 엇갈린 투표,True,스포츠,스포츠,5,스포츠,5.0,
ynat-v1_dev_00058,北에도 사교육 열풍…특권층 자녀에 월 1천 위안,False,정치,사회,6,사회,2.0,
ynat-v1_dev_00059,항공업 타격에 카드사 전전긍긍…못받는 항공권 취소대금 ↑,True,경제,경제,1,경제,1.0,
ynat-v1_dev_00060,그래픽 사업체 종사자 증감률,False,사회,경제,2,경제,1.0,
ynat-v1_dev_00061,스페셜올림픽 전 배구국가대표 김성민 발달장애선수들 가...,True,스포츠,스포츠,5,스포츠,5.0,
ynat-v1_dev_00062,차기 한국언론법학회장에 이승선 충남대 교수,True,사회,사회,2,사회,2.0,
ynat-v1_dev_00063,北매체 박 대통령에 독단·전횡으로 망조 또 막말,False,정치,세계,6,세계,4.0,
ynat-v1_dev_00064,정부 싱가포르·일본·태국 등 6개국 여행 자제해달라,False,사회,정치,2,정치,6.0,
ynat-v1_dev_00065,혼돈의 학교⑥ 교사·학생 제역할 할 수 있는 환경 조성해야,True,사회,사회,2,사회,2.0,
ynat-v1_dev_00066,英 의회 정회 막은 여장부 밀러 의회민주주의 지키려했다,True,세계,세계,4,세계,4.0,
ynat-v1_dev_00067,욕·성희롱·신세 한탄까지…30명이 1년간 허위신고 9천500건,True,사회,사회,2,사회,2.0,
