Sentence 1,Sentence 2,True Binary,Pred Binary,True Real,Pred Real
무엇보다도 호스트분들이 너무 친절하셨습니다.,"무엇보다도, 호스트들은 매우 친절했습니다.",1,1,4.857142857142857,4.8
주요 관광지 모두 걸어서 이동가능합니다.,위치는 피렌체 중심가까지 걸어서 이동 가능합니다.,0,0,1.428571428571429,2.7
학생들의 균형 있는 영어능력을 향상시킬 수 있는 학교 수업을 유도하기 위해 2018학년도 수능부터 도입된 영어 영역 절대평가는 올해도 유지한다.,영어 영역의 경우 학생들이 한글 해석본을 암기하는 문제를 해소하기 위해 2016학년도부터 적용했던 EBS 연계 방식을 올해도 유지한다.,0,0,1.285714285714286,2.8
와이키키 중심지로 이동이 편리한 위치에 있습니다.,와이키키 센터에 편리하게 위치해 있습니다.,0,1,2.857142857142857,4.7
깨끗하고 와이파이랑 넷플릭스도 됩니다!,깨끗하고 Wi-Fi와 Netflix를 사용할 수 있습니다!,1,1,4.714285714285714,4.8
불평할 것 하나 없이 완벽한 곳이었습니다.,그곳은 불평하기에 완벽한 장소였어요.,1,0,3.5,1.2
보일러는 구월말고 시월되기 전에 꼭 끝낼 수 있게 해줘,구월말고 시월 전에 보일러 점검 안 하면 큰일나.,0,0,2.5,2.8
사진과 똑같은 너무 이쁜 숙소였습니다.,사진이랑 똑같이 예쁜 기숙사였어요.,1,1,3.5,3.8
"위치, 가격, 응답, 서비스 다 좋았어요","위치, 가격, 응답, 서비스 모두 좋았습니다.",1,1,4.857142857142857,5.0
제가 있던 방은 욕실이 많이 좁았어요.,내 방의 화장실은 매우 작았습니다.,1,1,4.0,4.8
위치 친절함 신속한답변 등 매우 완벽한 곳이었어요,"위치, 친절함, 신속한 대응, 완벽한 장소입니다.",1,1,4.5,4.8
선정기준선은 ▲직장가입자(직장가입자 및 피부양자로만 구성) 가구 ▲지역가입자(지역가입자로만 구성) 가구 ▲직장·지역가입자가 모두 있는 가구를 구분해 마련한다.,이번 경감은 지역가입자와 직장가입자가 모두 받을 수 있습니다.,0,0,0.8571428571428571,2.5
이밖에 핵심 소부장 분야에 대한 대-중소기업간 협력모델도 추가 선정했다.,"또한, 주요 중소기업을 대상으로 대기업과 중소기업의 협력 모델을 선정하였습니다.",1,1,3.333333333333333,3.8
파일 전송하는건 다음 메일이 좋으니 지메일은 쓰지마,지메일이랑 네이버 메일 중 파일 전송용량이 뭐가 더 크지?,0,0,0.6666666666666666,2.2
청결도는 지금까지 가본 에어비엔비중 제일 깨끗했어요.,제가 가 본 에어비앤비 중 가장 깨끗했어요.,1,1,3.833333333333333,4.8
깔끔한 편이지만 식기세척기에서 살짝 냄새가나요.,"깨끗하긴 한데, 식기 세척기에서 냄새가 좀 나요.",1,1,4.5,4.8
학교 메일에서 거부하는 도메인은 뭐뭐가 있지?,최근 온 거래처 메일에서 가장 많이 들어간 단어는?,0,0,0.6666666666666666,2.2
혁신기업 국가대표 1000 프로젝트는 혁신적 기술을 가지고 미래 유니콘으로 성장할 잠재력이 있는 중소·벤처기업 1000개를 선정 집중지원하는 프로젝트다.,"혁신기업 1000팀 프로젝트는 혁신기술로 미래 유니콘으로 성장할 가능성이 있는 1,000개의 중소·벤처기업을 선정하여 중점적으로 추진하는 프로젝트입니다.",1,1,4.5,4.7
엘에이 숙소들 가격대 생각하면 가격대비 추천합니다!,"L.A. 숙박시설의 가격범위를 고려해서, 가격대비 추천합니다!",1,1,4.428571428571429,4.8
하수구에 음식 버리지 않도록 약속해.,열대야에 술 마시지 않기로 약속하자.,0,0,0.5714285714285714,1.2
공지 메일 수신을 원치 않으니 제 이메일 주소를 리스트에서 삭제해주세요.,제 다음 메일말고 다른 메일에 보내주세요.,0,0,0.7142857142857143,2.5
천주교도 경증환자 수용에 자체 시설공간을 내어주기로 했다.,가톨릭은 미성년 환자들을 수용하기 위해 자신의 시설 공간을 포기하기로 결정했습니다.,0,0,0.5,2.8
집 창문으로 보이는 풍경이 너무 멋졌습니다,화장실 창문으로 보이는 풍경 아름답습니다,0,1,2.6,3.5
가족과 함께한 여행으로 여러명이 함께하기에 정말 좋은 장소예요.,가족 여행이나 4명정도 같이 가는 일행은 정말 좋은 곳 같아요,1,1,3.166666666666667,4.6
진짜 그래서 이불은 사용 아예 안했어요.,그래서 저는 담요를 전혀 사용하지 않았어요.,1,1,3.4,4.5
전반적으로 조용하고 평화로운 동네입니다.,전반적으로 사진과 유사하고 깔끔합니다.,0,0,0.8,1.8
기간집중이수제 운영근거초중등학교 교육과정 총론 中‘과목의 이수 시기와 단위는 학교에서 자율적으로 편성·운영할 수 있다.’,학교는 자발적으로 초·중등학교의 과정 이수 기간과 단위를 편성하여 운영할 수 있습니다.,0,1,1.833333333333333,4.5
"한편, 인플루엔자 즉 독감 바이러스 진단기술은 최근 20년간 총 200건(내국인 138건)이 출원된 것으로 나타났다.",2002년 첫 보고된 사스 유발 코로나바이러스(SARS-CoV) 관련 진단기술은 모두 19건(내국인 16건)이 출원됐다.,0,0,0.8333333333333334,2.5
호스트의 세심한 배려가 돋보이는 숙소였습니다,주인으로부터 세심한 배려를 받은 호텔이었습니다.,1,1,3.833333333333333,4.8
박물관·미술관 소장 자원에 다양한 첨단기술 적용한 디지털 체험존을 조성하고 콘텐츠 제작을 지원한다.,다양한 첨단 응용 프로그램으로 디지털 체험존을 조성하고 박물관 및 미술관 소유주들의 자원으로 콘텐츠 제작을 지원할 예정입니다.,0,0,2.333333333333333,2.8
"위치는 중앙역에서 도보 5분 정도 걸렸던 것 같아요,",버스정류장에서 시내까지는 13분 정도 걸렸던 것 같아요.,0,0,0.6666666666666666,2.5
집은 깨끗하고 사진에 있는 그대로 입니다.,방은 깨끗하고 있을건 다 있는 방입니다.,0,0,2.166666666666667,2.8
모든 면에서 잘 준비되어 있는 청결한 숙소에요.,모든 면에서 깨끗하고 잘 준비된 숙박 시설입니다.,1,1,4.428571428571429,4.8
10월 중에는 시속 400km로 달리는 초고속열차 도입에도 착수하기로 했다.,정부는 방역조치의 책임성도 강화하기로 했다.,0,0,0.0,0.0
"침실, 개인화장실, 개인주방 모두 가격대비 완벽했습니다.","화장실, 침실, 욕실, 주방 등 모두 청결했습니다.",0,0,2.285714285714286,2.8
